function,protocol,direction,description,method_id
bridge,ORBITER,OUTGOING,Bridges tokens across chains,0x8b9e4f93
bridge,SYMBIOSIS,OUTGOING,Bridges tokens to another chain,0x8b9e4f93
bridge,SYNAPSE,OUTGOING,Bridges tokens to another chain,0x8b9e4f93
bridgeAndSwap,SYNAPSE,BOTH,Bridges and swaps tokens,0x7c025200
bridgeAssets,POLYMARKET,BOTH,Bridges assets cross-chain,0x8b9e4f93
bridgeAssets,ANKR,OUTGOING,Bridges assets cross-chain,0x8b9e4f93
bridgeDeposit,AZTEC,OUTGOING,Deposits into DeFi bridge,0x47e7ef24
bridgeETH,ORBITER,OUTGOING,Bridges ETH across chains,0xb1a1a882
bridgeFromMonero,MONERO,INCOMING,Bridges from Monero chain,0x4ce38b5f
bridgeFromZcash,ZCASH,INCOMING,Bridges from Zcash chain,0x4ce38b5f
bridgeInteraction,AZTEC,BOTH,Interacts with DeFi protocol,0x4ce38b5f
bridgeNFT,MAGICEDEN,OUTGOING,Bridges NFT to another chain,0x8b9e4f93
bridgeTokens,ALLBRIDGE,OUTGOING,Bridges specific tokens,0x8b9e4f93
bridgeTokens,ORBITER,OUTGOING,Bridges specific tokens,0x8b9e4f93
bridgeToMonero,MONERO,OUTGOING,Bridges to Monero chain,0x8b9e4f93
bridgeToZcash,ZCASH,OUTGOING,Bridges to Zcash chain,0x8b9e4f93
bridgeTransfer,ZEROEX,OUTGOING,Transfers across bridge,0x8b9e4f93
bridgeWithdraw,AZTEC,INCOMING,Withdraws from DeFi bridge,0x69328dec
build,COMPOUND,OUTGOING,Build position,0x9d94c8b3
build,MAKER,OUTGOING,Build position,0x9d94c8b3
buildOnLand,ILLUVIUM,OUTGOING,Constructs on land,0x7535d246
buildOnLand,ILLUVIUM,OUTGOING,Constructs on land,0x7535d246
bulkBuy,X2Y2,OUTGOING,Buys multiple NFTs,0x7c025200
bulkExecute,BLUR,BOTH,Executes multiple orders,0x945bcec9
bulkList,MAGICEDEN,OUTGOING,Lists multiple NFTs,0x945bcec9
bulkList,MAGICEDEN,OUTGOING,Lists multiple NFTs,0x945bcec9
bulkList,X2Y2,OUTGOING,Lists multiple NFTs,0x945bcec9
bulkListing,OPENSEA,OUTGOING,Creates multiple listings,0x945bcec9
bulkOffers,OPENSEA,OUTGOING,Creates multiple offers,0x945bcec9
burn,SYNTHETIX,INCOMING,Burns sUSD for SNX,0x89afcb44
burn,KYBERSWAP,INCOMING,Burns elastic pool position,0x89afcb44
burn,PANCAKESWAP,INCOMING,Burns liquidity position NFT,0x89afcb44
burn,SOLIDLY,INCOMING,Burns LP tokens,0x89afcb44
burn,SUSHISWAP,INCOMING,Burns concentrated liquidity position,0x89afcb44
burn,UNISWAP,INCOMING,Burns liquidity position,0x89afcb44
burn,UNISWAP,INCOMING,Burns liquidity position,0x89afcb44
burn,RARIBLE,OUTGOING,Burns existing NFT,0x89afcb44
burn,ERC1155,OUTGOING,Burns tokens,0x42966c68
burn,ERC20,OUTGOING,Burns existing tokens,0x42966c68
burn,ERC3525,OUTGOING,Burns token,0x42966c68
burn,ERC721,OUTGOING,Burns existing NFT,0x42966c68
burnAETH,ANKR,INCOMING,Burns aETH tokens,0x89afcb44
burnBatch,ERC1155,OUTGOING,Burns multiple tokens,0x6b20c454
burnFrax,FRAX,INCOMING,Burns FRAX tokens,0x89afcb44
burnFrom,ERC20,OUTGOING,Burns tokens from address,0x79cc6790
burnLPToken,DYSTOPIA,INCOMING,Burns LP tokens,0x89afcb44
burnLPToken,MESH_SWAP,INCOMING,Burns LP tokens,0x89afcb44
burnPosition,CAMELOT,INCOMING,Burns NFT position,0x89afcb44
burnToEther,ETH_GENERIC,BOTH,Burn tokens for ETH,0x3f7d753c
burnToToken,ETH_GENERIC,BOTH,Burn tokens for another token,0x7ebf1db5
burnValue,ERC3525,OUTGOING,Burns token value,0x0c46b72a
buy,RARIBLE,OUTGOING,Creates buy order,0x94b576de
buy,X2Y2,OUTGOING,Buys listed NFT,0x94b576de
buyAsset,STAR_ATLAS,OUTGOING,Purchases listed asset,0x94b576de
buyAxie,AXIE,OUTGOING,Purchases listed Axie,0x94b576de
buybackFrax,FRAX,OUTGOING,Buys back FRAX from market,0x8a8c523c
buyCard,GODS_UNCHAINED,OUTGOING,Purchases listed card,0x94b576de
buyCard,SORARE,OUTGOING,Purchases listed card,0x94b576de
buyCard,SPLINTERLANDS,OUTGOING,Purchases listed card,0x94b576de
buyChips,DECENTRAL,OUTGOING,Purchases casino chips,0x94b576de
buyCover,INSURACE,OUTGOING,Purchases insurance coverage,0x8f38249c
buyCover,NEXUS_MUTUAL,OUTGOING,Purchases cover policy,0x8f38249c
buyCredits,ROLLBIT,OUTGOING,Purchases casino credits,0x94b576de
buyFromVending,DODO,OUTGOING,Buys from vending machine,0x2c70b603
buyHero,DEFI_KINGDOMS,OUTGOING,Purchases listed hero,0x94b576de
buyHero,THETAN_ARENA,OUTGOING,Purchases listed hero,0x94b576de
buyItem,BIGTIME,OUTGOING,Purchases listed item,0x94b576de
buyItem,EMBER_SWORD,OUTGOING,Purchases listed item,0x94b576de
buyLand,AXIE,OUTGOING,Purchases Lunacia land,0x8f38249c
buyNFT,MAGICEDEN,OUTGOING,Purchases listed NFT,0x94b576de
buyNFT,MAGICEDEN,OUTGOING,Purchases listed NFT,0x94b576de
buyOption,JONES,OUTGOING,Purchases option contract,0x8f38249c
buyOutcome,POLYMARKET,OUTGOING,Buys market outcome tokens,0x94b576de
buyParticipationTokens,AUGUR,OUTGOING,Purchases participation tokens for fee window,0x3aa6b597
buyPega,PEGAXY,OUTGOING,Purchases listed Pega,0x94b576de
buyShares,DODO,OUTGOING,Buys pool shares,0x8f38249c
buyShares,FRIEND_TECH,OUTGOING,Purchases user shares,0x6945b123
buyShoe,STEPN,OUTGOING,Purchases listed shoe,0x94b576de
buyTickets,PANCAKESWAP,OUTGOING,Purchases lottery tickets,0x88146cc4
buyUnicorn,CRYPTO_UNICORNS,OUTGOING,Purchases listed unicorn,0x94b576de
cacheValues,REDSTONE,OUTGOING,Caches price values,0x4ce38b5f
calculateMedian,REDSTONE,NEUTRAL,Calculates median price,0x3c5269a4
call,DECENTRAL,OUTGOING,Calls current bet,0x9b3d47b4
cancel,ARBITRUM,OUTGOING,Cancels retryable ticket,0x2e1a7d4d
cancel,X2Y2,OUTGOING,Cancels NFT listing,0x2e1a7d4d
cancelAction,LENS,OUTGOING,Cancels publication action,0x5f7b8feb
cancelAuction,GNOSIS,OUTGOING,Cancels active auction,0x96b5a755
cancelAuction,MAGICEDEN,OUTGOING,Cancels active auction,0x96b5a755
cancelAuction,MAGICEDEN,OUTGOING,Cancels active auction,0x96b5a755
cancelAuction,OPENSEA,OUTGOING,Cancels active auction,0x96b5a755
cancelBet,WALLFAIR,INCOMING,Cancels active bet,0x2e1a7d4d
cancelBundle,EDEN,OUTGOING,Cancels submitted bundle,0x2e1a7d4d
cancelBundle,FLASHBOTS,OUTGOING,Cancels pending bundle,0x2e1a7d4d
cancelCover,INSURACE,OUTGOING,Cancels active coverage,0x2e1a7d4d
cancelLazyMint,RARIBLE,OUTGOING,Cancels lazy mint,0x2e1a7d4d
cancelLimitOrder,ONEINCH,OUTGOING,Cancels limit order,0x2e1a7d4d
cancelLimitOrder,PARASWAP,OUTGOING,Cancels existing limit order,0x2e1a7d4d
cancelListing,AXIE,OUTGOING,Cancels Axie listing,0x2e1a7d4d
cancelListing,BIGTIME,OUTGOING,Cancels item listing,0x2e1a7d4d
cancelListing,CRYPTO_UNICORNS,OUTGOING,Cancels unicorn listing,0x2e1a7d4d
cancelListing,DEFI_KINGDOMS,OUTGOING,Cancels hero listing,0x2e1a7d4d
cancelListing,EMBER_SWORD,OUTGOING,Cancels item listing,0x2e1a7d4d
cancelListing,GODS_UNCHAINED,OUTGOING,Cancels card listing,0x2e1a7d4d
cancelListing,PEGAXY,OUTGOING,Cancels Pega listing,0x2e1a7d4d
cancelListing,SPLINTERLANDS,OUTGOING,Cancels card listing,0x2e1a7d4d
cancelListing,STEPN,OUTGOING,Cancels shoe listing,0x2e1a7d4d
cancelListing,THETAN_ARENA,OUTGOING,Cancels hero listing,0x2e1a7d4d
cancelListing,MAGICEDEN,OUTGOING,Cancels NFT listing,0x2e1a7d4d
cancelListing,MAGICEDEN,OUTGOING,Cancels NFT listing,0x2e1a7d4d
cancelListing,OPENSEA,OUTGOING,Cancels active listing,0x2e1a7d4d
cancelOffer,OPENSEA,OUTGOING,Cancels active offer,0x2e1a7d4d
cancelOffer,X2Y2,OUTGOING,Cancels existing offer,0x2e1a7d4d
cancelOrder,DRIFT,OUTGOING,Cancels pending order,0x2e1a7d4d
cancelOrder,DYDX,OUTGOING,Cancels existing order,0x2e1a7d4d
cancelOrder,KWENTA,OUTGOING,Cancels pending order,0x2e1a7d4d
cancelOrder,VELA,OUTGOING,Cancels existing order,0x2e1a7d4d
cancelOrder,GNOSIS,OUTGOING,Cancels existing order,0x2e1a7d4d
cancelOrder,HASHFLOW,OUTGOING,Cancels limit order,0x2e1a7d4d
cancelOrder,LOOPRING,OUTGOING,Cancels existing order,0x2e1a7d4d
cancelOrder,ZEROEX,OUTGOING,Cancels limit order,0x2e1a7d4d
cancelOrder,COWSWAP,OUTGOING,Cancels existing order,0x2e1a7d4d
cancelOrder,MANIFOLD,OUTGOING,Cancels existing order,0x2e1a7d4d
cancelOrder,ROOK,OUTGOING,Cancels existing order,0x2e1a7d4d
cancelOrder,BLUR,OUTGOING,Cancels existing order,0x2e1a7d4d
cancelOrder,LOOKSRARE,OUTGOING,Cancels existing order,0x2e1a7d4d
cancelOrder,RARIBLE,OUTGOING,Cancels active order,0x2e1a7d4d
cancelPolicy,UNSLASHED,OUTGOING,Cancels active policy,0x2e1a7d4d
cancelPool,PINKSALE,BOTH,Cancels presale pool,0x2e1a7d4d
cancelReservation,EDEN,OUTGOING,Cancels slot reservation,0x2e1a7d4d
cancelRfqOrder,ZEROEX,OUTGOING,Cancels RFQ order,0x5f7b8feb
cancelUpkeep,CHAINLINK,OUTGOING,Cancels active upkeep,0x2e1a7d4d
captureIlluvial,ILLUVIUM,OUTGOING,Captures wild Illuvial,0x8f38249c
cast,FARCASTER,OUTGOING,Creates new cast message,0x1698ee82
castVote,COMPOUND,OUTGOING,Votes on proposal,0x56781388
challengeAssessment,NEXUS_MUTUAL,OUTGOING,Challenges assessment,0x2f4f5cc5
challengeRelay,POCKET,OUTGOING,Challenges invalid relay,0x2f4f5cc5
changeThreshold,GNOSIS,OUTGOING,Changes Safe threshold,0x694e80c3
checkUpkeep,CHAINLINK,NEUTRAL,Checks if upkeep needed,0x6e04ff0d
claim,ACROSS,INCOMING,Claims bridged tokens,0x4e71d92d
claim,ACROSS,INCOMING,Claims bridged tokens V2,0x4e71d92d
claim,ALLBRIDGE,INCOMING,Claims bridged tokens,0x4e71d92d
claim,SYMBIOSIS,INCOMING,Claims bridged tokens,0x4e71d92d
claim,CURVE,INCOMING,Claims staking rewards,0x4e71d92d
claim,ONEINCH,INCOMING,Claims farming rewards,0x4e71d92d
claim,PANCAKESWAP,INCOMING,Claims prediction rewards,0x4e71d92d
claim,PLATYPUS,INCOMING,Claims vested tokens,0x4e71d92d
claim,POCKET,INCOMING,Claims governance rewards,0x4e71d92d
claim,BULLPERKS,INCOMING,Claims purchased tokens,0x4e71d92d
claim,COINLIST,INCOMING,Claims purchased tokens,0x4e71d92d
claim,COPPER_LAUNCH,INCOMING,Claims won tokens,0x4e71d92d
claim,DAOMAKER,INCOMING,Claims SHO tokens,0x4e71d92d
claim,GAMEFI,INCOMING,Claims purchased game tokens,0x4e71d92d
claim,GAMESTARTER,INCOMING,Claims purchased game tokens,0x4e71d92d
claim,PINKSALE,INCOMING,Claims presale tokens,0x4e71d92d
claim,POLKSTARTER,INCOMING,Claims IDO tokens,0x4e71d92d
claim,SEEDIFY,INCOMING,Claims IGO tokens,0x4e71d92d
claim,GEIST,INCOMING,Claims vested tokens,0x4e71d92d
claim_rewards,CURVE,INCOMING,Claims gauge rewards,0xe6f1daf2
claimableRewards,CONVEX,NEUTRAL,Checks claimable rewards,0x33039b29
claimAll,ETH_GENERIC,INCOMING,Claim all pending rewards,0x4e71d92d
claimAssessmentReward,NEXUS_MUTUAL,INCOMING,Claims assessment reward,0x4e71d92d
claimAssessmentRewards,UNSLASHED,INCOMING,Claims assessment rewards,0x4e71d92d
claimAuction,GNOSIS,INCOMING,Claims auction proceeds,0x9a756e44
claimAuction,STAR_ATLAS,INCOMING,Claims won auction,0x4e71d92d
