method_id,function,protocol,direction,description
0x219f5d17,"addToPosition, increaseLiquidity, increasePosition","GAINS, LEVEL, MYCELIUM, PANCAKESWAP, UNISWAP",OUTGOING,Increases position size
0x23b872dd,"shieldedTransfer, transfer, transferAsset, transferFrom, transferPosition","AZTEC, CAMELOT, CENTRIFUGE, ERC20, ERC3525, ERC721, SUSHISWAP, UNISWAP, ZCASH",BOTH,Executes shielded transfer
0x29b3d8f1,"beefInETH, zapInETH","BEEFY, ZYBERSWAP",OUTGOING,Zaps ETH into vault
0x2e1a7d4d,"cancel, cancelBet, cancelBundle, cancelCover, cancelLazyMint, cancelLimitOrder, cancelListing, cancelOffer, cancelOrder, cancelPolicy, cancelPool, cancelReservation, cancelUpkeep, deactivateOrb, deactivateValidator, deleteIdentity, deprecateSubgraph, deregisterOperator, deregisterValidator, endGame, exitValidator, fold, free, freeGem, leavePod, leavePool, leaveTable, removeConnection, removeDelegate, removePinningService, removeStrategy, revokeAccess, revokeIdentity, revokeProof, terminateDeal, undelegate, undelegateFromOperator, unfollow, unlock, unlockSpirit, unlockTokens, unlockWOM, unpinFile, unsignal, unstake, unstakeACX, unstakeAPI3, unstakeATLAS, unstakeAXS, unstakeApp, unstakeBETS, unstakeBLP, unstakeBOO, unstakeBTRFLY, unstakeBlur, unstakeCELR, unstakeCFG, unstakeCHR, unstakeDIA, unstakeDPX, unstakeDRIFT, unstakeDYDX, unstakeDYST, unstakeEDEN, unstakeFxs, unstakeGAFI, unstakeGALA, unstakeGAME, unstakeGEIST, unstakeGMT, unstakeGNS, unstakeGODS, unstakeGRAIN, unstakeHBL, unstakeHEGIC, unstakeICE, unstakeILV, unstakeINSUR, unstakeJONES, unstakeKWENTA, unstakeLOOKS, unstakeLP, unstakeLPToken, unstakeLPTokens, unstakeLRC, unstakeLVL, unstakeLYRA, unstakeMYC, unstakeMaple, unstakeNFT, unstakeNXM, unstakeNode, unstakePERP, unstakePGX, unstakePOLIS, unstakePOLY, unstakePREMIA, unstakeQUICK, unstakeRAM, unstakeRAY, unstakeRBN, unstakeRBW, unstakeRDNT, unstakeRLB, unstakeROOK, unstakeSPS, unstakeSorare, unstakeTHG, unstakeTRU, unstakeTokens, unstakeUMB, unstakeVELA, unstakeWETH, unstakeWFAIR, unstakeWLD, unstakeX2Y2, unstakeYAK, unsubscribe, withdraw, withdrawCollateral, withdrawETH, withdrawLocked, withdrawStake","ACROSS, ALLBRIDGE, ALPACA, ANKR, API3, ARBITRUM, AXIE, BALANCER, BANCOR, BAND, BEEFY, BEETHOVEN, BENQI, BETSWIRL, BIGTIME, BINANCE, BLUR, BRIGHTID, BULLPERKS, CAMELOT, CELER, CENTRIFUGE, CHAINLINK, CHRONOS, CIVIC, COWSWAP, CRYPTO_UNICORNS, CURVE, DECENTRAL, DEFI_KINGDOMS, DIA, DOPEX, DRIFT, DYDX, DYSTOPIA, EDEN, EIGENLAYER, EMBER_SWORD, ERC4626, FARCASTER, FILECOIN, FLASHBOTS, FRAX, GAINS, GALA, GAMEFI, GAMESTARTER, GEIST, GMX, GNOSIS, GODS_UNCHAINED, GOLDFINCH, GRANARY, HASHFLOW, HEGIC, HOP, HUBBLE, HUNDRED, ILLUVIUM, INSURACE, IPFS, JONES, KWENTA, LENS, LEVEL, LIDO, LOOKSRARE, LOOPRING, LYRA, MAGICEDEN, MAKER, MANIFOLD, MANTLE, MAPLE, MAVERICK, MESH_SWAP, MIX_SWAP, MULTICHAIN, MYCELIUM, NEXUS_MUTUAL, NFTX, ONEINCH, OPENSEA, OPTIMISM, ORBITER, PARASWAP, PEGAXY, PERPETUAL, PICKLE, PINKSALE, PLATYPUS, POCKET, POLYGON, POLYGONID, POLYNOMIAL, PREMIA, QUICKSWAP, RADIANT, RAMSES, RARIBLE, RAYDIUM, REDACTED, RIBBON, ROLLBIT, ROOK, SEEDIFY, SOLIDLY, SORARE, SPIRITSWAP, SPLINTERLANDS, SPOOKYSWAP, STADER, STAKESTONE, STAKEWISE, STARGATE, STAR_ATLAS, STEPN, SUSHISWAP, SWELL, SYMBIOSIS, SYNAPSE, SYNTHETIX, TELLOR, THETAN_ARENA, THE_GRAPH, TORNADO, TRADERJOE, TRUEFI, UMBRELLA, UNSLASHED, VELA, VELODROME, VULPEFI, WALLFAIR, WOMBAT, WORLDCOIN, X2Y2, YEARN, YIELD_YAK, ZAPPER, ZED_RUN, ZEROEX, ZYBERSWAP",OUTGOING,Cancels retryable ticket
0x2f4f5cc5,"askPool, challengeAssessment, challengeRelay, convertToAssets, discountedSwap, disputePrice, disputeValue, fastWithdraw, instantRedeemLocal, inviteMember, like, matchBorrowers, migrateCDP, mirror, optimize, replayMessage, retryMessage, setHookFees, swapNFTForAnyNFT, tend, unjailValidator, updateGatekeeper, updateMerkleRoot, updateState, updateVenusBorrowIndex, verifyCollection","ANKR, BINANCE, BRIGHTID, CIVIC, DODO, FARCASTER, HOP, LAYERZERO, LENS, MAGICEDEN, MAKER, MORPHO, NEXUS_MUTUAL, ONEINCH, OPENSEA, OPTIMISM, POCKET, POLYGONID, STAKEWISE, STARGATE, SUDOSWAP, TELLOR, UMA, UNISWAP, VENUS, X2Y2, YEARN, ZERION",OUTGOING,Places ask in pool
0x32b7006d,"anySwapInNative, exit, withdrawERC20","MULTICHAIN, OPTIMISM, POLYGON",INCOMING,Receives bridged native tokens
0x3a088cd2,"act, addBribe, addReward, attestToken, enableFollowModule, enableFrontrunProtection, enableModuleForProfile, enableSandwich, issueClaim, issueCredential, registerChain, registerGatekeeper, registerRelayer","CIVIC, CONCENTRATOR, DYSTOPIA, FLASHBOTS, LAYERZERO, LENS, MANIFOLD, POLYGONID, PORTAL, RAMSES, VELODROME, WORLDCOIN, WORMHOLE",OUTGOING,Performs publication action
0x3b11b670,"createAuction, openVault, startAuction","COPPER_LAUNCH, MAGICEDEN, MAKER, MANIFOLD, OPENSEA, SORARE, STAR_ATLAS",OUTGOING,Creates card auction
0x3ccfd60b,"depositAll, stakeAll","BEEFY, CONVEX, PICKLE",OUTGOING,Deposits all available assets
0x3d18b912,"getReward, lock, lockGem, lockHND, lockPICKLE, lockRDNT, lockSpirit, lockStake, lockTokens, lockWOM","BEETHOVEN, BINANCE, CONCENTRATOR, CONVEX, FRAX, GAMESTARTER, GEIST, HUNDRED, ILLUVIUM, MAKER, MULTICHAIN, PICKLE, RADIANT, SOLIDLY, SPIRITSWAP, SUSHISWAP, VELODROME, WOMBAT, ZYBERSWAP",INCOMING,Claims farming rewards
0x3df02124,"exchange, swapSaiToDai","CURVE, MAKER",BOTH,Swaps between tokens in pool
0x40c10f19,"generateDai, mint, mintAETH, mintFrax, mintMembership, mintNFT, mintOption, mintToken, shieldedMint, soulMint","ANKR, ARWEAVE, CENTRIFUGE, CURVE, ERC1155, ERC20, ERC3525, ERC4626, ERC5192, ERC721, FRAX, GOLDFINCH, MAKER, NFTX, OETH, PREMIA, RARIBLE, SYNTHETIX, VENUS, ZCASH",INCOMING,Generates DAI from vault
0x42966c68,"burn, shieldedBurn, soulBurn","ERC1155, ERC20, ERC3525, ERC5192, ERC721, ZCASH",OUTGOING,Burns tokens
0x441a3e70,"farmWithdraw, withdraw, withdrawDD, withdrawLP","BANCOR, BEETHOVEN, BISWAP, KYBERSWAP, ORCA, PANCAKESWAP, QUICKSWAP, RAYDIUM, SPIRITSWAP, SPOOKYSWAP, SUSHISWAP, WOMBAT, ZAPPER",INCOMING,Withdraws from farm
0x4515cef3,"addStaticLiquidity, add_liquidity","BALANCER, KYBERSWAP",OUTGOING,Add liquidity to pool
0x454a2ab3,"bidPool, sellChips, sellHorse, sellItem, sellLand, sellOption, sellOutcome, sellShares","AXIE, DECENTRAL, DODO, DOPEX, FRIEND_TECH, GALA, HEGIC, JONES, POLYMARKET, PREMIA, ZED_RUN",OUTGOING,Places bid in pool
0x4641257d,"collectResources, harvest, harvestCrops, harvestDD, harvestFromLand, harvestPlants, harvestResources, harvestRewards, harvestYield","ALLBRIDGE, ALPACA, AXIE, BISWAP, CAMELOT, CONCENTRATOR, CRYPTO_UNICORNS, DEFI_KINGDOMS, EMBER_SWORD, ILLUVIUM, JONES, KYBERSWAP, MESH_SWAP, MIX_SWAP, OETH, ORCA, PICKLE, PIREX, PLATYPUS, QUICKSWAP, RAYDIUM, REDACTED, SPIRITSWAP, SPOOKYSWAP, SYNAPSE, TRUEFI, VULPEFI, WALLFAIR, WOMBAT, YEARN, YIELD_YAK, ZAPPER",INCOMING,Collects land resources
0x47e7ef24,"addCollateral, addMargin, addNFT, addStorage, bridgeDeposit, deposit, depositAave, depositCapital, depositCollateral, depositInsurance, depositNode, fundDeal, fundLoan, gaugeDeposit, invest, lendNFT, postCollateral, recollateralize","AAVE, ALPACA, AZTEC, BANCOR, BEEFY, BINANCE, BLUR, CENTRIFUGE, CONCENTRATOR, CONVEX, DOPEX, DRIFT, DYDX, EIGENLAYER, FARCASTER, FILECOIN, FRAX, GAINS, GOLDFINCH, HUBBLE, INSURACE, IRONBANK, JONES, MAKER, MAPLE, OETH, PERPETUAL, PICKLE, PIREX, POLYMARKET, POLYNOMIAL, RAILWAY, RIBBON, ROCKETPOOL, ROLLBIT, STADER, SUDOSWAP, SYNTHETIX, TORNADO, TRUEFI, UNSLASHED, YEARN, YIELD_YAK",OUTGOING,Adds collateral to position
0x490e6cbc,"flash, flashSwap","BEETHOVEN, MAVERICK, MIX_SWAP, PLATYPUS, SUSHISWAP, UNISWAP",BOTH,Executes flash swap
0x4a25d94a,"swapTokensForExactAVAX, swapTokensForExactBNB, swapTokensForExactETH, swapTokensForExactFTM, swapTokensForExactMATIC","BISWAP, CAMELOT, CHRONOS, DYSTOPIA, KYBERSWAP, MESH_SWAP, QUICKSWAP, RAMSES, SPIRITSWAP, SPOOKYSWAP, SUSHISWAP, TRADERJOE, UNISWAP, VELODROME, ZYBERSWAP",BOTH,Swaps tokens for exact AVAX
0x4b8a3529,"supply, verify","BRIGHTID, COMPOUND, WORLDCOIN",OUTGOING,Supplies assets to protocol
0x4b9f2d36,"blockProfile, setReferralCode","GMX, LENS",OUTGOING,Blocks profile
0x4c4a82f8,"completeNFTTransfer, redeemNFT, wrapNFTs","PARASWAP, PORTAL, WORMHOLE",INCOMING,Completes NFT transfer
0x4c8d8528,"beefOutETH, zapOutETH","BEEFY, ZYBERSWAP",INCOMING,Zaps vault to ETH
0x4ce38b5f,"addContext, anySwapIn, approveLoan, bonderFee, bridgeFromMonero, bridgeFromZcash, bridgeInteraction, cacheValues, clearMessage, closeMinipool, closePool, collect, completeMeditation, completeMission, completeQuest, completeTransfer, completeWithdraw, endAuction, endBattle, endMatch, endMove, exercise, finalize, finalizeERC20Withdrawal, finalizeInboundTransfer, finalizeWithdrawal, flashUnstake, fulfillLazyMint, fulfillRandomWords, fulfillRandomness, fulfillRequest, migrate, migrateCollateral, migrateLiquidity, migrateNode, migrateStrategy, migrateToMCD, mix, multiZapOut, processExpiredLocks, processProof, processRollup, quote, rebalance, rebalancePool, rebalanceVault, redeemAndRemove, redeemRemote, redelegate, redelegateStake, robustSwapNFT, rollPosition, salvageItem, settle, settleAuction, settleExpired, settleOption, settleOrder, settlePosition, settleRequest, splitCard, transitionState, updateBuilderPreferences","ACROSS, ANKR, API3, ARBITRUM, AZTEC, BAND, BIGTIME, BINANCE, BRIGHTID, CHAINLINK, CONCENTRATOR, CONVEX, COWSWAP, DEFI_KINGDOMS, DOPEX, EMBER_SWORD, FLASHBOTS, GAINS, GALA, GODS_UNCHAINED, HEGIC, HOP, HUBBLE, ILLUVIUM, JONES, LAYERZERO, LENS, LYRA, MAGICEDEN, MAKER, MANIFOLD, MANTLE, MAPLE, MAVERICK, MONERO, MULTICHAIN, NFTX, OETH, OPENSEA, OPTIMISM, PINKSALE, POLYGONID, PORTAL, PREMIA, RAILWAY, RARIBLE, RAYDIUM, REDSTONE, RIBBON, ROCKETPOOL, ROOK, STARGATE, STAR_ATLAS, STEPN, SUDOSWAP, THETAN_ARENA, TRUEFI, UMA, WORMHOLE, YEARN, ZAPPER, ZCASH",OUTGOING,Adds verification context
0x4d5f327c,"fulfillOrder, settleOrders",GNOSIS,BOTH,Fulfills placed order
0x4e71d92d,"claim, claimAll, claimAssessmentReward, claimAssessmentRewards, claimAuction, claimBounty, claimBribe, claimBribes, claimBridged, claimBridgedNFT, claimBuilderRewards, claimCard, claimCards, claimDefaultedNFT, claimETH, claimGST, claimIndexingRewards, claimInsurance, claimInvestmentRewards, claimLiquidation, claimMeditationRewards, claimMerkleRewards, claimMorpho, claimNodeRewards, claimPrize, claimRPLRewards, claimRaceRewards, claimRelayRewards, claimRepayment, claimRevenue, claimReward, claimRewards, claimRoyalties, claimSLP, claimSearcherRewards, claimSlotRewards, claimStakingRewards, claimTHC, claimTip, claimTournamentRewards, claimTraderSurplus, claimTrading, claimVIS, claimValidatorRewards, claimVenusAsCollateral, claimWinnings, claimWithdrawal, claimWithdrawals, collectResources, collectRewards, redeemClaim, settle","ACROSS, ALLBRIDGE, ANKR, ARWEAVE, AXIE, BETSWIRL, BIGTIME, BLUR, BULLPERKS, CENTRIFUGE, COINLIST, COPPER_LAUNCH, COWSWAP, CRYPTO_UNICORNS, CURVE, DAOMAKER, DECENTRAL, DEFI_KINGDOMS, DRIFT, DYSTOPIA, EDEN, EMBER_SWORD, ETH_GENERIC, FILECOIN, FLASHBOTS, GALA, GAMEFI, GAMESTARTER, GEIST, GODS_UNCHAINED, GOLDFINCH, HUBBLE, ILLUVIUM, INSURACE, KWENTA, LENS, LIDO, LOOKSRARE, MAGICEDEN, MANIFOLD, MORPHO, NEXUS_MUTUAL, ONEINCH, OPENSEA, PANCAKESWAP, PEGAXY, PERPETUAL, PINKSALE, PLATYPUS, POCKET, POLKSTARTER, POLYMARKET, POLYNOMIAL, RAMSES, RARIBLE, REDACTED, ROCKETPOOL, ROLLBIT, ROOK, SEEDIFY, SORARE, SPIRITSWAP, SPLINTERLANDS, STADER, STAKESTONE, STAKEWISE, STAR_ATLAS, STEPN, SYMBIOSIS, TELLOR, THETAN_ARENA, THE_GRAPH, UMA, UNSLASHED, VELODROME, VENUS, WALLFAIR, ZED_RUN",INCOMING,Claims bridged tokens
0x4f1eb3d8,"collect, collectFees, earn, forceWithdraw","KYBERSWAP, LOOPRING, ORCA, PANCAKESWAP, UNISWAP, YEARN",INCOMING,Collects earned fees
0x52a9c8e6,"collectFees, collect_fees, limitOrder, placeStopOrder, placeTriggerOrder","DRIFT, DYDX, HASHFLOW, SUSHISWAP, UNISWAP",INCOMING,Collects position fees
0x5312ea8e,"emergencyWithdraw, removeLiquidityBinning","ANKR, BISWAP, KYBERSWAP, MAVERICK, PANCAKESWAP, POLKSTARTER, QUICKSWAP, RAYDIUM, SUSHISWAP",INCOMING,Emergency withdrawal from farm
0x573ade81,"payback, paybackDebt, repay, repayLoan","AAVE, ALPACA, BLUR, DYDX, FRAX, GEIST, GOLDFINCH, GRANARY, HUNDRED, IRONBANK, MAKER, MAPLE, MORPHO, RADIANT, TRADERJOE, TRUEFI, VENUS",OUTGOING,Repays DAI debt
0x590e1ae3,"refund, refundBet, revert","BETSWIRL, BULLPERKS, CELER, GAMEFI, GAMESTARTER, SYMBIOSIS",INCOMING,Refunds failed bridge
0x5c19a95c,"delegate, delegateStake, delegateToOperator, delegateVotes, follow","AAVE, BAND, BINANCE, CENTRIFUGE, DYDX, EIGENLAYER, FARCASTER, FRAX, GNOSIS, LENS, LIDO, MAKER, MANTLE, NEXUS_MUTUAL, STAKESTONE, STAKEWISE, THE_GRAPH, TRUEFI, UNSLASHED",OUTGOING,Delegates voting power
0x5f7b8feb,"cancelAction, cancelRfqOrder, disableModuleForProfile, disableProtection, disableSandwich, enableReferenceModule, pauseMint, removeContext, removeRelayer, removeVerification, revokeClaim, revokeCredential, unlike","BRIGHTID, FARCASTER, FLASHBOTS, LAYERZERO, LENS, MAGICEDEN, MANIFOLD, POLYGONID, WORLDCOIN, ZEROEX",OUTGOING,Cancels publication action
0x69328dec,"bridgeWithdraw, downloadData, gaugeWithdraw, getFile, processExpiredLocksWithdraw, removeCollateral, removeMargin, removeNFT, removeStorage, retrieveData, withdraw, withdrawAave, withdrawBid, withdrawCapital, withdrawClaim, withdrawCollateral, withdrawCredits, withdrawEntry, withdrawExpiredCover, withdrawFees, withdrawInsurance, withdrawMinipool, withdrawPnl, withdrawRPL, withdrawRewards, withdrawToVault, withdrawUnsuccessful","AAVE, ALPACA, ARWEAVE, AZTEC, BEEFY, COINLIST, CONCENTRATOR, CONVEX, COPPER_LAUNCH, DOPEX, DRIFT, DYDX, EIGENLAYER, EULER, FARCASTER, FILECOIN, FRAX, FRIEND_TECH, GAINS, GEIST, GOLDFINCH, GRANARY, HUBBLE, HUNDRED, INSURACE, IPFS, IRONBANK, JONES, LIDO, MAKER, MANTLE, MAPLE, MORPHO, NEXUS_MUTUAL, OETH, PERPETUAL, PICKLE, PIREX, POLYMARKET, POLYNOMIAL, RADIANT, RAILWAY, RIBBON, ROCKETPOOL, ROLLBIT, SORARE, SUDOSWAP, SYNTHETIX, THE_GRAPH, TORNADO, TRADERJOE, UNSLASHED, YEARN, YIELD_YAK, ZED_RUN",INCOMING,Withdraws from DeFi bridge
0x6945b123,"buyShares, fillQuote","FRIEND_TECH, HASHFLOW",OUTGOING,Purchases user shares
0x6a627842,"mint, mintLPToken","DYSTOPIA, MESH_SWAP, SOLIDLY, UNISWAP",OUTGOING,Mints LP tokens
0x6c1aaf13,"createListing, createOrder, list, listAsset, listAxie, listCard, listHero, listItem, listNFT, listPega, listShoe, listUnicorn, placeOrder, sell, submitOrder","AXIE, BIGTIME, COWSWAP, CRYPTO_UNICORNS, DEFI_KINGDOMS, DYDX, EMBER_SWORD, GODS_UNCHAINED, KWENTA, LOOKSRARE, MAGICEDEN, MANIFOLD, OPENSEA, PEGAXY, RARIBLE, ROOK, SORARE, SPLINTERLANDS, STAR_ATLAS, STEPN, THETAN_ARENA, VELA, X2Y2",OUTGOING,Creates NFT listing
0x6d34b96e,"claimRewardsOnBehalf, distributeBorrowerVenus","AAVE, VENUS",OUTGOING,Claims rewards on behalf of a user
0x6d914547,"beefIn, zapIn","BEEFY, ZAPPER, ZERION, ZYBERSWAP",OUTGOING,Zaps tokens into vault
0x6e04ff0d,"checkUpkeep, registerUpkeep",CHAINLINK,NEUTRAL,Checks if upkeep needed
0x6e553f65,"deposit, depositDD, depositLP, mintAndSell, mintAndStake","BEETHOVEN, ERC4626, EULER, NFTX, ORCA, RARIBLE",OUTGOING,Deposits assets
0x7535d246,"activateDeal, analyze, approveLoan, assessLoan, buildOnLand, combineCards, compositeCards, craftItem, createBundle, developLand, distribute, distributeRewards, distributeYield, earmarkRewards, enhanceItem, estimatedTotalAssets, extendCover, feedUnicorns, forgeCard, fuseCards, gauge, getSellPrice, interactContract, levelUpHero, levelUpShoe, link, migrateProxy, operateNode, pinFile, proposePrice, publish, raise, relayBlock, relayTransaction, renewCover, renewPolicy, repairShip, reply, requestLoan, resolveMarket, revealVote, sendBundle, setActionModule, setDelegateTerms, setProfileImageURI, setProfileMetadata, setStrategy, shield, signal, submitBackrun, submitBlock, submitBundle, submitSolution, submitValue, switchMembership, unjailNode, updateAsset, updateBeacon, updateBuilderConfig, updateCache, updateCollection, updateCoordinatorConfig, updateDelta, updateIdentity, updateIndexes, updateMetadata, updateMint, updateOperator, updateOrb, updateOrder, updatePool, updatePoolParameters, updatePower, updatePrice, updatePrices, updateProfile, updateRiskParameters, updateRoyalties, updateSchema, updateStatus, updateStorage, updateStrategyDebtRatio, updateSubgraph, updateValidator, updateValue, updateVending, updateVenusSupplyIndex, upgradeCard, upgradeGear, upgradeHero, upgradeIlluvial, upgradeLand, upgradeNode, upgradeShip, upgradeTier, upgradeUnicorn, useItem, validateCheckpoint, validateDataFeed, validateTransactionProof, verifyBlock, verifyClaim, verifyCredential, verifyGatekeeper, verifyMessage, verifyNote, verifyPrice, verifyProof, verifyRollup, verifyState, verifyStorage, verifyZkProof, waterPlants","API3, ARWEAVE, AZTEC, BAND, BIGTIME, BINANCE, BRIGHTID, CENTRIFUGE, CIVIC, CONCENTRATOR, CONVEX, COWSWAP, CRYPTO_UNICORNS, DECENTRAL, DEFI_KINGDOMS, DIA, DODO, EDEN, EIGENLAYER, EMBER_SWORD, FARCASTER, FILECOIN, FLASHBOTS, FRIEND_TECH, GALA, GAMESTARTER, GODS_UNCHAINED, GOLDFINCH, ILLUVIUM, INSURACE, IPFS, LAYERZERO, LENS, LIDO, LOOKSRARE, MAGICEDEN, MAKER, MANIFOLD, MANTLE, MAPLE, MONERO, MORPHO, NEXUS_MUTUAL, OPENSEA, PIREX, POCKET, POLYGON, POLYGONID, POLYMARKET, PYTH, RAILWAY, RARIBLE, REDSTONE, ROCKETPOOL, ROOK, SORARE, SPLINTERLANDS, STADER, STAKEWISE, STAR_ATLAS, STEPN, SUDOSWAP, SWELL, TELLOR, THETAN_ARENA, THE_GRAPH, TORNADO, TRUEFI, UMA, UMBRELLA, UNSLASHED, VELA, VELODROME, VENUS, WORLDCOIN, WORMHOLE, X2Y2, YEARN, ZCASH, ZERION",OUTGOING,Activates storage deal
0x7b24a5fd,"restake, restakeRewards","ANKR, AXIE, BANCOR, EIGENLAYER, MANTLE",OUTGOING,Restakes rewards back into protocol
0x7c025200,"acceptQuote, bridgeAndSwap, bulkBuy, convertToShares, exercise, exerciseOption, fightBattle, leaveGroup, marketOrder, matchLenders, minePlanets, post, proveWithdrawal, receive, receiveMessage, redeemLocal, redeemOnEth, relay, relayMessage, rentCard, rentHero, rentPega, requestL2Transaction, routeSwap, routerSwap, sendToL2, smartSwap, speedUpRelay, swapBaseOut, swapOnUniswap, swapTokenForNFT, verifyProof, zapAcross","ACROSS, ANKR, ARBITRUM, BEETHOVEN, BRIGHTID, CELER, DEFI_KINGDOMS, DODO, DOPEX, HASHFLOW, HEGIC, HOP, ILLUVIUM, JONES, LAYERZERO, LENS, LYRA, MIX_SWAP, MORPHO, OPTIMISM, ORCA, PARASWAP, PEGAXY, POLYGONID, PORTAL, PREMIA, RAYDIUM, RIBBON, SPLINTERLANDS, STARGATE, STAR_ATLAS, SUDOSWAP, SYNAPSE, THETAN_ARENA, VULPEFI, WORLDCOIN, WORMHOLE, X2Y2, ZAPPER",BOTH,Accepts RFQ quote
0x7ff36ab5,"swapExactAVAXForTokens, swapExactBNBForTokens, swapExactETHForAlpha, swapExactETHForTokens, swapExactFTMForTokens, swapExactMATICForTokens","BISWAP, CAMELOT, CHRONOS, DYSTOPIA, KYBERSWAP, MESH_SWAP, PANCAKESWAP, QUICKSWAP, RAMSES, SOLIDLY, SPIRITSWAP, SPOOKYSWAP, SUSHISWAP, TRADERJOE, UNISWAP, VELODROME, ZYBERSWAP",OUTGOING,Swaps exact AVAX for tokens
0x8293745b,"setRoyalties, updateFee","LOOKSRARE, MAGICEDEN, OPENSEA, RARIBLE, SUDOSWAP, X2Y2",OUTGOING,Sets collection royalties
0x82a08fcd,"closePosition, decreasePosition","DRIFT, DYDX, GAINS, GMX, HUBBLE, KWENTA, LEVEL, LYRA, MYCELIUM, PERPETUAL, POLYNOMIAL, ROLLBIT",INCOMING,Closes existing position
